point_idx,delta_nm,raw_force_nN,stitched_force_nN,segment_id,cumulative_offset_nN,used_for_fit,date,file,group,sample,linker,surfactant,displacement_nm,setpoint,curve_id,rupture_idx
89,69.53121232366229,1.573194055222615,1.573194055222615,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
90,70.31251658122862,1.1942706530349199,1.1942706530349199,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
91,71.09372083825002,0.8153957499387445,0.8153957499387445,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
92,71.8749810519961,4.356372347751048,4.356372347751048,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
93,72.6561853090175,3.977497444654901,3.977497444654901,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
94,73.43744552276358,7.518474042467204,7.518474042467204,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
95,74.21864977978497,7.139599139371029,7.139599139371029,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
96,74.99995403735127,6.760675737183334,6.760675737183334,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
97,75.78115829437267,6.381800834087173,6.381800834087173,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
98,76.56246255193898,6.002877431899478,6.002877431899478,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
99,77.34376680950528,5.623954029711783,5.623954029711783,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
100,78.12497106652668,5.245079126615607,5.245079126615607,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
101,78.90627532409299,4.866155724427912,4.866155724427912,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
102,79.68743553729415,8.40718082133175,8.40718082133175,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
103,80.46873979486045,8.028257419144055,8.028257419144055,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
104,81.24994405188185,7.649382516047893,7.649382516047893,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
105,82.03124830944816,7.270459113860198,7.270459113860198,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
106,82.81245256646955,6.891584210764023,6.891584210764023,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
107,83.59375682403585,6.512660808576328,6.512660808576328,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
108,84.37506108160218,6.133737406388633,6.133737406388633,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
109,85.15626533862356,5.754862503292472,5.754862503292472,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
110,85.93756959618989,5.375939101104763,5.375939101104763,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
111,86.71881789703149,1.0771641980086173,1.0771641980086173,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
112,87.5000781107776,4.618140795820906,4.618140795820906,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
113,88.28123832397873,8.159165892724744,8.159165892724744,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
114,89.06258662536528,3.8603424905370503,3.8603424905370503,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
115,89.84389088293159,3.481419088349355,3.481419088349355,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
116,90.62505109613276,7.022444185253178,7.022444185253178,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
117,91.40635535369907,6.643520783065483,6.643520783065483,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
118,92.18755961072046,6.264645879969322,6.264645879969322,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
119,92.96886386828676,5.885722477781627,5.885722477781627,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
120,93.75006812530816,5.506847574685452,5.506847574685452,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
121,94.53137238287447,5.127924172497771,5.127924172497771,0,0.0,True,20260416,k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,k80-linker2-paa,k80,linker2,paa,200.0,125.5nN,20260416::k80-linker2-paa-50nm-200nm-125.5nN-2 - NanoScope Analysis.txt,
